USER_ID,SITE_NAME,POSA_CONTINENT,USER_LOCATION_COUNTRY,USER_LOCATION_REGION
1707,2,3,66,174
1740,28,1,68,229|480
1744,24,2,3,50
1754,2,3,66,348
1757,24,2,3,51
1771,24,2,3,50
1773,24,2,3,51
1794,2,3,66,442
1808,34,3,198,153
1811,28,1,68,480
1841,23,1,1,395
1845,24,2,3,51
1856,28,1,68,330
1867,28,1,68,480
1872,24,2,3,45
1873,24,2,3,50
1887,24,2,3,50
1899,8,4,77,401
1906,24,2,69,923
1911,37,1,191,461
1926,37,1,69,959
1927,2,3,194,38
1938,24,2,3,48
1944,28,1,68,335
1952,20,2,202,269
1959,28,1,69,761
1970,24,2,3,50|51
1981,37,1,69,712
1988,18,2,119,0
1989,37,1,46,157
1998,35,2,70,47
2001,37,1,69,1011
2006,2,3,66,348
2014,24,2,3,46
2015,8,4,77,462
2020,24,2,3,51
2029,24,2,3,77
2032,37,1,66,174
2045,2,3,66,471
2046,24,2,3,50
2060,24,2,3,50
2069,24,2,3,50
2076,24,2,3,59
2080,24,2,3,50
2084,28,1,68,223
2107,2,3,66,314
2114,37,1,69,761
2142,2,3,48,23
2145,24,2,3,63
2157,2,3,66,348
2180,2,3,66,149
2226,24,2,3,50
2241,37,1,69,1003
2244,37,1,69,900
2271,34,3,205,354
2326,13,1,46,171
2332,28,1,68,220
2340,30,4,190,133
2342,13,1,66,351
2358,24,2,3,64
2363,24,2,3,51
2376,24,2,3,45
2377,24,2,3,58|65
2382,8,4,77,977
2385,30,4,195,548
2400,37,1,69,567|954
2404,24,2,3,83
2441,8,4,77,520
2444,20,2,202,268
2459,28,1,68,447
2474,24,2,3,51
2491,37,1,69,844
2512,35,2,70,47
2522,24,2,3,50
2531,2,3,66,311
2554,2,3,66,442
2592,13,1,133,31
2599,24,2,3,65
2612,28,1,68,330
2630,23,1,1,158
2652,24,2,167,38
2674,2,3,66,174
2683,25,2,66,448
2685,2,3,66,174
2703,36,2,115,957
2725,37,1,69,994
2737,2,3,66,184
2833,20,2,202,265
2849,28,1,68,335
2850,23,1,1,219
2864,8,4,77,401
2867,11,3,205,354
2875,37,1,69,761
2887,2,3,66,174
2892,2,3,66,260|363
2919,28,1,68,335
2922,24,2,229,407
2950,28,1,68,335
2956,2,3,66,174
2984,13,1,46,172
2988,2,3,195,991
2995,37,1,69,986|993
2997,2,3,66,294
2998,17,1,133,20
3001,24,2,3,57
3022,2,3,66,348
3031,13,1,46,244
3038,13,1,46,245
3040,24,2,66,174
3058,24,2,3,50
3060,24,2,3,60
3082,34,3,205,354
3090,24,2,3,50
3095,24,2,3,50
3104,24,2,3,50
3121,37,1,69,758
3140,23,1,1|46,244|395
3144,24,2,3,43
3176,2,3,66,174|462
3181,24,2,3,64
3184,24,2,3,65
3193,37,1,66,318
3204,24,2,202,268
3211,13,1,46,244|347
3221,23,1,1,366|453
3230,8|24,2|4,3|66,50|442
3246,24,2,3,66
3249,24,2,3,63
3269,2,3,66,435
3279,37,1,69,761
3280,37,1,69,917
3297,2,3,66,174
3300,24,2,3,64
3310,37,1,119,0
3334,2,3,66,462
3355,11,3,205,343
3366,8,4,77,824
3367,2,3,66,318
3391,8,4,77,824
3403,2,3,66,220
3408,24,2,3,50
3409,2,3,66,314
3432,2,3,66,258|351
3444,34,3,205,385
3455,2,3,205,354
3464,2,3,205,411
3490,2,3,66,174
3516,24,2,3,60
3536,24,2,3,50
3607,23,1,1,318
3627,2,3,66,293
3654,37,1,69,727
3672,2,3,66,442
3697,24,2,3,50
3698,24,2,3,57
3706,28,1,133,30
3708,24,2,3,48
3722,24,2,3,49
3735,24,2,3,50
3742,8,4,77,462
3760,24,2,231,81
3763,2,3,93,72
3808,28,1,68,335
3812,24,2,3,64
3813,24,2,3,49
3818,15,1,55,143
3832,13,1,46,347
3839,24,2,3,51
3841,24,2,3,50
3844,2,3,66,351
3859,2,3,66,448
3865,28,1,68,335
3873,11,3,66,321
3878,2,3,66,459
3886,24,2,3,50
3894,24,2,3,78
3896,34,3,205,354
3929,2,3,66,356
3941,2,3,66,174
3950,2,3,66,174
3965,2,3,77,977
3982,13,1,46,347
3995,34,3,205,135
3996,2,3,66,348
4004,24,2,3,50
4019,33,2,194,38
4034,37,1,32,583
4036,17,1,180,48
4042,2,3,66,196
4049,2,3,66,348
4075,34,3,205,135
4080,2,3,3|66,50|174
4094,2,3,55,23
4110,2,3,28,154
4132,13,1,63,480
4135,23,1,1,318
4143,23,1,1,365
4152,2,3,66,226
4160,24,2,3,60
4172,23,1,1,174
4194,24,2,3,50
4225,24,2,3,50
4236,2,3,66,448
4253,37,1,69,923
4263,24,2,3,51
4292,13,1,46,347
4300,30,4,195,843
4326,24,2,3,50
4332,24,2,3,47
4333,23,1,1,318
4334,24,2,3,51
4366,24,2,3,48
4390,24,2,3,50
4399,2,3,66,448
4411,24,2,3,51
4429,24,2,3,50
4435,24,2,3,52
4462,24,2,3,52
4485,23,1,1,318
4492,24,2,3,49|64
4502,2,3,46,347
4518,13,1,46,244
4530,2,3,66,331
4535,37,1,69,739
4539,13,1,46,171|347
4541,24,2,3,65
4588,2,3,66,311|348
4611,24,2,167,51
4634,13,1,46,172
4653,2,3,66,174
4655,34,3,205,155
4661,2,3,66,337|348
4666,17,1,133,20
4690,2,3,66,448
4705,2,3,66,254
4708,2,3,66|231,48|348
4713,2,3,66,220
4717,2,3,66,226
4723,2,3,66,448
4737,2,3,66,331
4740,24,2,231,68
4745,24,2,66,331
4757,24,2,3,50
4769,24,2,3,50
4776,13,1,46,245
4777,37,1,69,573|793
4786,13,1,46,172
4823,23,1,1,376
4847,8,4,77,824
4862,24,2,229,407
4870,24,2,3,50
4871,24,2,3,50
4883,24,2,3,50
4899,24,2,3,50
4915,23,1,1,315
4923,24,2,3,50
4934,24,2,3,50
4963,24,2,3,48
4964,24,2,194,38
4969,2,3,66,254
4982,2,3,28,154
4995,8,4,77,824
5026,8,4,77,520
5052,23,1,1,436
5055,23,1,1,318
5061,24,2,119,0
5066,23,1,1,427
5083,37,1,29,194
5097,8,4,77,977
5104,15,1,55,23
5117,2,3,66,174
5124,8,4,77,824
5160,13,1,46,347
5176,37,1,69,1011
5186,18,2,119,0
5201,2,3,66,462
5209,8,4,77,871
5213,37,1,69,648|772
5214,18,2,231,88
5216,25,2,50,604
5234,8,4,77,824
5240,8,4,77,977
5242,25,2,23,78
5260,2,3,66,258
5274,2,3,66,346|356
5285,2,3,66,467
5287,2,3,66,220
5304,2,3,66,174|356
5327,13,1,63,480
5369,24,2,3,64
5374,37,1,69,739
5384,24,2,3,64
5405,37,1,69,923
5418,24,2,3,50
5437,24,2,3,64
5447,24,2,3,50
5453,24,2,3,50
5455,2,3,66,442
5481,24,2,3,50
5494,30,4,195,548
5525,24,2,3,60
5550,24,2,3,50
5565,24,2,3,51
5569,25,2,23,78
5573,37,1,69,653
5577,37,1,69,695|761
5585,24,2,3,50
5605,37,1,69,681
5607,25,2,23,48
5612,24,2,3,50
5623,24,2,3,50
5625,24,2,3,64
5632,25,2,23,48
5644,17,1,133,31
5657,24,2,3,64
5674,2,3,66,174
5708,2,3,66,184
5724,2,3,66,435
5728,37,1,69,761
5743,11,3,205,354
5805,37,1,69,674
5828,13,1,46,336
5830,37,1,69,1011
5839,2,3,66,348
5844,13,1,46,336
5846,13,1,47,22
5863,34,3,205,354
5871,2,3,66,322|348
5906,24,2,3,51
5920,24,2,3,50
5974,2,3,66,348
5990,13,1,46,398
5993,2,3,66,442
6015,8,4,77,824
6029,2,3,66,462
6032,2,3,66,462
6033,8,4,77,824
6046,24,2,3,49
6050,23,1,1,184|318
6064,23,1,1,143
6076,24,2,3,51
6129,37,1,69,682
6145,24,2,3,50
6149,24,2,3,77
6162,24,2,3,50
6177,24,2,3,63
6193,13,1,46,414
6194,27,2,167,47
6205,24,2,3,50
6209,2,3,66,294
6239,24,2,3,64
6253,34,3,205,354
6254,34,3,205,354
6268,13,1,46,171
6283,15,1,91,38
6297,30,4,195,548
6298,24,2,3,50
6304,2,3,66,348
6314,37,1,69,750|987
6323,34,3,205,343
6386,2,3,66,294
6389,25,2,23,48
6403,2,3,215,678
6415,2,3,66,174
6418,35,2,70,119
6442,8,4,77,401
6447,2,3,66,174|403
6454,2,3,66,315
6461,2,3,66,331|442
6485,2,3,66,314
6495,2,3,66,174
6496,2,3,66,363
6517,24,2,3,50
6521,2,3,66,174
6532,24,2,3,50
6551,2,3,66,198
6557,2,3,66,220
6565,2,3,66,462
6572,2,3,66,174
6583,24,2,1,318
6592,24,2,3,65
6597,13,1,46,244
6624,24,2,3,45|50
6638,24,2,3,64|65
6658,2,3,230,458
6686,24,2,3,50
6693,2,3,66,258
6703,24,2,3,60
6706,8,4,77,871
6710,2,3,66,184
6729,13,1,46,172
6736,24,2,3,55
6743,2,3,66,174
6747,28,1,68,335
6748,37,1,69,580
6752,23,1,1,325
6755,24,2,3,63
6785,24,2,3,50
6791,24,2,3,65
6803,2,3,231,74
6826,24,2,3,50
6841,24,2,3,50
6845,13,1,46,336
6850,24,2,3,64
6896,2,3,24,67
6907,2,3,149,290
6928,2,3,66,174
6950,11,3,205,354
6974,2,3,66,153
6979,34,3,205,354
7036,2,3,66,318
7063,2,3,66,348
7073,34,3,205,155
7090,2,3,66,220|351
7098,2,3,66,174
7099,2,3,66,337
7101,2,3,66,352
7102,2,3,19,38
7104,26,0,215,646
7125,2,3,66,448
7150,2,3,66,153
7172,2,3,66,174
7178,34,3,205,354
7216,11,3,205,135
7264,2,3,66,174
7268,11,3,205,135
7294,34,3,205,354
7309,34,3,66,220
7315,11,3,66|205,174|312
7338,34,3,205,135
7352,2,3,66,318
7365,2,3,154,535
7396,2,3,80,38
7410,2,3,130,759
7425,2,3,66,363
7444,2,3,66,442
7463,11,3,205,385
7478,2,3,66,143
7483,2,3,92,0
7525,2,3,66,351
7532,2,3,66,174
7564,2,3,66,174
7572,2,3,66,254
7592,34,3,205,135
7612,2,3,66,226
7675,2,3,133,20
7702,2,3,66,174
7744,2,3,218,26
7759,2,3,66,258
7815,2,3,66,220
7837,2,3,66,174
7847,26,0,215,646
7877,2,3,66,174
7885,2,3,30,12
7912,2,3,66,346
7919,2,3,66,174
7925,2,3,66,258
7945,2,3,66,337
7978,2,3,173,529
7981,2,3,215,817
8067,2,3,66,442
8094,2,3,66,174
8156,2,3,34,46
8166,11,3,205,330
8194,2,3,66,335
8198,2,3,66,294
8213,2,3,66,462
8218,2,3,66,435
8224,2,3,66,340
8225,2,3,66,348
8264,2,3,57,342
8283,2,3,66,174|442
8306,34,3,205,385
8314,2,3,66,226
8352,2,3,70,47
8369,2,3,66,348
8424,34,3,205,354
8440,2,3,66,174
8446,2,3,66,314
8453,2,3,66,314
8469,2,3,66,174
8470,2,3,66,321
8491,2,3,66,226|258
8492,2,3,66,356
8513,2,3,66,348
8516,34,3,202,154
8521,2,3,66,337
8531,2,3,66,403
8536,2,3,66,174
8547,2,3,66,311
8567,2,3,66,337
8575,2,3,66,258|340
8623,26,0,215,646
8644,34,3,205,354
8669,2,3,66,258
8670,2,3,66,337
8720,2,3,66,294
8728,2,3,66,322
8756,2,3,66,189
8757,2,3,66,471
8859,2,3,66,337
8865,2,3,66,260
8884,2,3,66,340
8914,2,3,66,174
8920,34,3,205,354
8942,2,3,66,311
8961,2,3,66,462
8970,2,3,66,337
9002,2,3,66,174
9007,2,3,66,352
9008,2,3,66,174
9017,2,3,66,314
9045,2,3,66,348
9055,2,3,66,258
9081,25,2,23,48|79
9084,17,1,133,20
9102,2,3,66,153
9116,24,2,3,77
9142,24,2,3,50
9144,17,1,66,442
9147,24,2,46,347
9174,37,1,69,923
9204,24,2,3,50
9206,24,2,3,50
9215,13,1,46,408
9220,2,3,66,315
9284,24,2,3,51
9308,8,4,77,401
9322,24,2,3,50
9323,37,1,69,761
9326,28,1,68,335
9342,8,4,77,824
9345,23,1,63,431
9352,24,2,3,52
9366,2,3,66,174
9395,8,4,229,407
9416,28,1,68,480
9431,24,2,66,311
9447,37,1,69,793
9452,24,2,3,48
9473,24,2,3,50
9491,8,4,205,155
9498,2,3,66,340
9529,24,2,231,70
9533,37,1,69,571
9542,24,2,3,63
9556,2,3,66,311
9602,24,2,3,71
9608,24,2,3,50
9614,24,2,3,48
9629,23,1,1,395
9643,2,3,66,442
9674,2,3,29,194
9681,13,1,46,412
9684,23,1,1,449
9692,2,3,66,174
9753,2,3,198,208
9758,2,3,66,189
9766,13,1,46,414
9784,2,3,66,337
9822,2,3,66,462
9838,35,2,70,89
9844,37,1,69,676
9870,24,2,3,51|81
9874,37,1,69,761
9903,24,2,202,269
9904,37,1,69,650
9905,15,1,55,29
9916,24,2,3,49
9918,24,2,66,174
9925,24,2,3,50
9942,2,3,66,220
9993,24,2,3,50
10019,25,2,23,48
10038,24,2,3,50
10040,2,3,66,462
10052,13,1,46,244
10066,24,2,3,51
10105,24,2,194,38
10106,2,3,66,348
10110,24,2,3,38
10115,2,3,66,174
10131,24,2,66,462
10134,15,1,55,12
10138,24,2,3,50
10184,2,3,66,189
10194,2,3,66,174
10195,24,2,3,50
10200,37,1,85|194,38|235
10201,37,1,66,246
10222,37,1,69,778
10224,22,2,0,203
10227,17,1,77,871
10274,27,2,167,51
10282,2,3,66,174
10288,24,2,3,50
10300,11,3,205,354
10302,34,3,205,135
10320,2,3,231,81
10325,34,3,205,312
10338,24,2,3,50
10381,30,4,195,991
10382,24,2,66,294
10384,13,1,46,157
10393,2,3,66,318
10419,23,1,1,223
10428,2,3,66,174
10429,13,1,46,244
10431,24,2,3,50
10450,37,1,69,639
10470,24,2,3,64
10480,25,2,23,48
10491,24,2,3,51
10494,2,3,66,174
10496,25,2,23,48
10509,2,3,66,142
10526,24,2,3,50
10531,37,1,190,133
10532,2,3,66,337
10533,24,2,3,60
10541,24,2,3,50
10544,24,2,46,244
10553,24,2,66,346
10563,24,2,3,64
10564,24,2,3,60
10586,37,1,69,993
10587,24,2,3,46
10634,24,2,3,64
10683,8,4,77,824
10699,2,3,66,351
10702,33,2,194,38
10784,2,3,66,363
10797,37,1,169,19
10805,2,3,66,442
10812,2,3,66,332
10859,24,2,3,64
10881,2,3,66,337
10883,13,1,46,347
10895,37,1,134,51
10903,24,2,3,50
10909,2,3,66,153
10939,13,1,63,480
10940,37,1,69,618
10941,2,3,66,258
10968,24,2,3,50
10986,37,1,69,695
10989,24,2,231,68
10992,8,4,77,824
11012,11,3,205,354
11032,24,2,3,50
11037,24,2,3,50
11041,23,1,1,329
11046,24,2,3,49
11049,8,4,66,294
11080,30,4,195,950
11100,2,3,66,348
11108,24,2,3,50
11150,37,1,69,674
11154,24,2,3,51
11160,24,2,3,50
11178,23,1,1,395
11184,15,1,55,311
11190,24,2,3,60
11211,23,1,1,395
11258,25,2,23,48
11259,23,1,1,187|390
11284,2,3,66,226
11316,24,2,3,47
11321,2,3,66,318
11337,17,1,217,0
11342,24,2,3,50
11344,2,3,66,174
11357,13,1,46,336
11368,2,3,66,189
11380,2,3,66,220
11397,2,3,66,448
11432,37,1,69,761
11435,2,3,66,318
11443,28,1,68,480
11451,2,3,231,72
11459,15,1,55,169
11511,24,2,3,50
11537,24,2,3,60
11554,37,1,75,144
11562,2,3,66,174
11569,13,1,46,157
11570,23,1,1,167
11579,2,3,66,220
11586,37,1,69,695
11588,37,1,65,0
11639,13,1,46,347
11657,15,1,55,12
11685,24,2,60,74
11715,23,1,1,318
11726,8,4,77,947
11777,2,3,66,220
11790,2,3,66,149
11794,24,2,3,65
11796,13,1,46,414
11805,37,1,23,68
11832,2,3,66,174
11859,34,3,23|205,48|354
11860,2,3,66,196
11862,17,1,133,20
11863,8,4,77,824
11867,26,0,215,646
11869,2,3,66,442
11871,13,1,46,244
11890,37,1,69,591
11902,2,3,12,938
11946,2,3,66,254
11961,2,3,215,646
12012,24,2,3,50
12013,11,3,205,354
12015,24,2,3,50
12030,15,1,55,32
12032,2,3,66,337
12041,2,3,205,155
12053,2,3,58,50
12066,17,1,133,28
12076,24,2,3,50
12080,8,4,77,871
12113,13,1,46,242
12118,33,2,194,38
12126,15,1,55,23
12158,2,3,66,294
12193,20,2,202,269
12237,8,4,77,824
12238,24,2,3,64
12243,24,2,3,60
12247,24,2,3,49
12250,24,2,3,42
12254,37,1,69,724|761
12272,24,2,3,50
12280,24,2,3,50
12285,37,1,69,923
12301,24,2,3,50
12312,23,1,1,158
12317,24,2,205,354
12335,24,2,3,50
12348,24,2,3,63
12380,24,2,104,38
12427,2,3,66,153
12439,24,2,3,50
12460,34,3,70,49
12472,17,1,63,480
12473,15,1,55,23
12483,13,1,46,172
12490,8,4,77,977
12525,2,3,66,174
12566,2,3,66,143
12583,24,2,3,38
12614,37,1,69,844
12622,24,2,3,45
12660,24,2,3,51|59
12686,18,2,119,0
12692,34,3,205,385
12696,24,2,3,49
12700,37,1,69,683
12705,23,1,1,318
12707,24,2,3,64
12715,27,2,167,47
12738,13,1,47,14
12744,24,2,3,77
12754,24,2,3,50
12762,24,2,3,48
12764,24,2,3,50|51
12773,37,1,69,567
12805,15,1,55,25
12810,25,2,23,48
12821,23,1,1,436
12831,2,3,66,258
12833,2,3,66,174
12888,34,3,205,135
12901,24,2,3,51
12919,11,3,205,155
12925,2,3,66,351
12965,37,1,69,657
12983,2,3,66,462
12987,24,2,3,73
13002,2,3,66,314
13006,37,1,69,657
13015,37,1,69,923
13025,17,1,133,20
13039,8,4,77,977
13040,24,2,66,311
13045,2,3,66,184
13072,34,3,66,442
13077,34,3,205,354
13115,2,3,66,174
13140,37,1,69,657
13142,13,1,46,171
13143,37,1,69,880
13167,24,2,3,81
13170,2,3,66,149
13171,2,3,66,462
13172,24,2,3,50
13175,24,2,119,0
13195,13,1,46,336
13205,24,2,3,50
13241,2,3,198,153
13243,8,4,167,47
13245,2,3,66,351
13256,24,2,231,68
13265,2,3,28,154
13278,24,2,66,174
13288,24,2,3,50
13298,2,3,66,337
13310,2,3,66,331
13363,37,1,69,655
13371,2,3,66,462
13374,24,2,3,50
13394,24,2,3,50
13424,24,2,3,48
13431,2,3,66,448
13465,2,3,66,174
13489,2,3,66,260
13521,2,3,66,348
13532,37,1,69,1002
13546,2,3,66,174
13555,37,1,69,619|761
13568,24,2,3,61
13571,17,1,133,23
13582,2,3,66,311
13593,2,3,66,448
13594,2,3,66,442
13614,24,2,3,48
13635,2,3,66,363
13663,2,3,66,184
13664,2,3,66,462
13665,2,3,66,321|348
13688,2,3,66,363
13695,8,4,77,824
13699,2,3,66,356
13707,24,2,3,50
13714,24,2,3,57
13754,37,1,69,584
13766,24,2,3,72
13788,2,3,179,410
13796,2,3,66,174
13799,8,4,77,871
13812,24,2,12,790
13815,24,2,3,50
13823,24,2,3,50
13836,30,4,195,548
13846,2,3,66,442
13860,37,1,69,761
13870,8,4,77,824
13871,23,1,1,318
13894,25,2,167,51
13901,24,2,3,50
13907,24,2,3,67
13930,8,4,215,885
13948,24,2,3,71
13968,2,3,66,174
13984,23,1,1,366
13990,2,3,66,351
13993,24,2,3,67
14002,24,2,3,60
14007,2,3,66,315
14028,2,3,66,293
14055,24,2,50,772
14061,2,3,66,226
14135,13,1,46,171
14136,13,1,46,244
14151,37,1,3,50
14152,24,2,93,72
14177,24,2,3,51
14181,23,1,1,308
14184,2,3,66,442
14203,24,2,3,64
14218,24,2,3,50|65
14264,2,3,66,403
14279,34,3,205,354
14286,2,3,85,464
14287,2,3,66,226|348
14300,11,3,205,135
14308,2,3,205,155
14311,2,3,66,260
14341,37,1,69,749
14357,2,3,66,174
14384,23,1,1,173
14401,2,3,66,314
14404,11,3,205,354
14417,2,3,66,333
14435,2,3,66,442
14461,24,2,3,80
14474,37,1,69,826
14482,37,1,69,519
14494,24,2,3,50
14508,2,3,231,48
14510,37,1,69,739
14515,2,3,215,646
14529,13,1,66,363
14535,2,3,48,424
14540,2,3,66,348
14552,2,3,66,254
14554,2,3,66,256
14559,24,2,3,50
14584,23,1,1,318
14589,23,1,1,296
14611,24,2,46,347
14614,24,2,3,50
14616,24,2,3,51
14617,2,3,66,348
14625,23,1,1,318
14632,2,3,66,448
14648,2,3,66,462
14651,24,2,3,64
14687,2,3,66,442
14698,2,3,66,294
14706,34,3,215,646
14721,2,3,182,416
14728,2,3,231,81
14752,2,3,66,403
14758,2,3,66,293
14769,2,3,66,174
14792,2,3,66,189
14796,2,3,66,256
14834,2,3,66,258
14840,2,3,66,352
14842,2,3,66,174
14876,2,3,66,311|348
14877,2,3,66,363
14888,2,3,66,311
14889,2,3,66,351
14903,2,3,66,331
14907,2,3,66,189
14910,2,3,66,254
14915,2,3,66,258
14935,2,3,66,348
14945,11,3,205,135
14955,2,3,66,363
14980,2,3,66,258
14987,2,3,66,153
14990,34,3,66,322
14996,2,3,149,290
15001,2,3,66,348
15070,2,3,46,244
15079,2,3,66,258
15093,2,3,66,220
15139,2,3,66,348
15143,34,3,205,354
15145,2,3,66,258
15167,2,3,66,174
15194,2,3,66,142
15197,2,3,66,143
15225,2,3,66,226
15234,2,3,66,258
15236,2,3,66,174
15237,2,3,119,0
15258,26,0,215,974
15261,2,3,66,462
15264,2,3,66,174
15271,2,3,66,337
15275,2,3,66,311
15283,2,3,66,467
15288,2,3,23,48
15315,34,3,205,155
15316,2,3,66,174
15320,2,3,23,48
15332,2,3,66,174
15403,2,3,66,174
15405,2,3,66,174
15428,11,3,205,135
15439,34,3,205,354
15454,2,3,66,442
15492,2,3,66,246
15495,2,3,66,442
15501,2,3,66,174
15518,2,3,66,174
15530,11,3,205,354
15549,2,3,66,189
15579,11,3,66,220
15588,2,3,66,318
15591,34,3,205,354
15613,2,3,66,184
15685,2,3,66,184
15687,11,3,205,354
15702,2,3,66,258
15719,2,3,66,174
15723,2,3,66,174
15728,11,3,205,354
15773,2,3,66,258
15785,2,3,66,447
15800,2,3,66,331
15805,2,3,66,220
15820,2,3,66,348
15863,2,3,66,174
15871,11,3,205,155
15888,2,3,215,788
15909,11,3,205,385
15917,2,3,66,174
15934,2,3,66,288
15953,2,3,66,462
15959,2,3,66,435
15987,2,3,66,337
15988,2,3,66,174
16000,2,3,66,442
16004,2,3,66,256
16011,11,3,205,354
16017,2,3,66,311
16020,2,3,66,311|448
16021,2,3,66,321
16048,2,3,66,293
16107,2,3,66,220
16109,2,3,66,246
16116,11,3,205,354
16131,2,3,66,288
16237,2,3,66,258
16249,2,3,66,337
16276,2,3,66,363
16284,2,3,66,226
16287,2,3,66,403
16307,2,3,66,174
16313,2,3,66,442
16325,2,3,66,321
16329,11,3,66,348
16385,2,3,66,442
16417,2,3,66,184
16433,2,3,66,174
16484,2,3,66,356
16516,2,3,66,442
16538,2,3,66|231,68|174
16561,2,3,66,174
16562,2,3,66,174
16595,2,3,66,467
16606,34,3,205,135
16620,26,0,215,817
16624,2,3,66,318
16647,2,3,82,963
16768,2,3,66,226
16829,2,3,66,348
16830,2,3,66,174
16853,2,3,66,174
16908,2,3,66,189
16920,2,3,66,311
16938,2,3,66,260
16947,2,3,66,351
16959,2,3,66,220
16969,2,3,87,59
16996,2,3,131,322
16997,2,3,117,373
16998,2,3,66,174
17008,2,3,66,333
17040,2,3,66,435
17042,2,3,66,174
17058,2,3,66,448
17115,2,3,66,322
17152,2,3,66,321
17194,2,3,66,311
17220,2,3,66,311
17227,11,3,205,385
17255,2,3,66,143
17257,2,3,66,260
17261,11,3,205,155
17286,2,3,66,174
17301,2,3,66,311
17303,2,3,66,220
17312,2,3,66,462
17316,34,3,205,155
17324,2,3,66,174
17330,2,3,66,314
17336,2,3,46,347
17348,34,3,205,354
17359,2,3,66,226
17376,2,3,66,174
17389,13,1,46,398
17416,2,3,66,356|442
17437,2,3,66,174
17438,37,1,69,574
17444,2,3,66,403
17445,37,1,69,912
17450,2,3,66,435
17461,2,3,66,184|226
17476,8,4,77,871
17499,2,3,66,174
17501,10,0,182,376
17599,2,3,66,153
17632,24,2,3,50
17642,31,2,50,772
17647,11,3,205,354
17656,23,1,1,368
17664,24,2,3,50
17667,24,2,3,50
17668,30,4,195,548
17688,2,3,66,226
17705,24,2,3,71
17751,24,2,3,65
17757,13,1,63,309
17764,24,2,3,71
17802,37,1,66,348
17827,11,3,205,354
17832,24,2,3,50
17838,37,1,69,627
17858,13,1,46,172
17863,24,2,3,50
17865,23,1,1,329
17867,24,2,3,81
17870,13,1,46,171
17873,24,2,3,46
17881,24,2,3,50
17891,37,1,69,558
17894,2,3,66,352
17927,2,3,66,174
17942,2,3,66,363
17948,37,1,69,581
17981,2,3,66,311
17985,2,3,66,448
17990,2,3,66,174
18003,31,2,50,772
18014,2,3,66,435
18022,2,3,66,174
18038,37,1,69,931
18051,24,2,3,50
18055,2,3,66,226
18098,2,3,66,174
18134,24,2,3,50
18159,24,2,3,50
18161,24,2,3,50|60
18188,2,3,66,226
18197,23,1,1,395
18200,2,3,0|66,252|448
18202,23,1,1,318
18207,28,1,68,480
18216,2,3,66,348
18230,24,2,3,64
18237,24,2,3,50
18250,24,2,3,49
18303,30,4,195,548
18309,24,2,3,50
18326,37,1,69,596
18343,24,2,151,190
18348,37,1,69,669
18363,24,2,3,50
18372,37,1,69|167,51|761
18379,8,4,77,824
18382,24,2,3,49
18395,2,3,66,220
18405,24,2,3,53
18407,24,2,3,74
18414,24,2,3,64
18419,18,2,119,0
18434,2,3,66,174
18436,2,3,66,174
18450,24,2,3,64
18453,37,1,66,174
18470,24,2,3,50
18508,24,2,3,50
18530,2,3,66,220
18531,20,2,202,265
18543,2,3,66,174
18562,23,1,1,318
18563,24,2,3,50
18571,2,3,66,348
18573,37,1,69,999
18575,24,2,3,48
18587,37,1,69,923
18609,2,3,66,311
18611,23,1,1,262|436
18651,2,3,23,48
18653,2,3,66,174
18665,11,3,205,354
